1,1
2,36
3,13
4,6
5,70
6,44
7,60
8,23
9,7
10,63
11,21
12,15
13,22
14,27
15,53
16,70
17,41
18,49
19,37
20,20
21,40
22,52
23,70
24,10
25,70
26,3
27,70
28,70
29,9
30,19
31,14
32,50
33,35
34,21
35,70
36,45
37,32
38,12
39,8
40,70
41,56
42,9
43,70
44,47
45,70
46,70
47,70
48,33
49,38
50,51
51,17
52,55
53,46
54,29
55,70
56,11
57,54
58,48
59,70
60,24
61,30
62,31
63,66
64,41
65,22
66,23
67,39
68,22
69,40
70,59
71,70
72,70
73,8
74,65
75,39
76,70
77,70
78,70
79,70
80,27
81,7
82,70
83,7
84,70
85,41
86,28
87,34
88,70
89,40
90,16
91,42
92,32
93,70
94,35
95,70
96,14
97,70
98,70
99,70
100,19
101,7
102,45
103,37
104,15
105,47
106,20
107,9
108,38
109,8
110,56
111,10
112,53
113,70
114,55
115,22
116,70
117,43
118,70
119,70
120,70
121,20
122,51
123,70
124,41
125,70
126,70
127,54
128,70
129,52
130,42
131,70
132,70
133,70
134,21
135,48
136,19
137,40
138,70
139,9
140,15
141,22
142,31
143,25
144,13
145,42
146,55
147,33
148,7
149,70
150,40
151,29
152,20
153,70
154,45
155,41
156,30
157,70
158,70
159,9
160,16
161,17
162,49
163,19
164,70
165,70
166,39
167,61
168,54
169,8
170,10
171,62
172,52
173,12
174,7
175,15
176,22
177,1
178,21
179,2
180,70
181,70
182,20
183,33
184,70
185,70
186,29
187,22
188,38
189,50
190,20
191,67
192,70
193,70
194,23
195,70
196,41
197,40
198,8
199,69
200,70
201,63
202,54
203,64
204,70
205,42
206,39
207,1
208,18
209,7
210,7
211,15
212,70
213,70
214,70
215,25
216,9
217,70
218,10
219,49
220,44
221,40
222,8
223,29
224,70
225,70
226,22
227,46
228,21
229,9
230,56
231,70
232,45
233,1
234,40
235,8
236,59
237,70
238,70
239,37
240,6
241,20
242,70
243,33
244,38
245,68
246,12
247,70
248,54
249,22
250,47
251,48
252,32
253,11
254,70
255,10
256,9
257,14
258,53
259,55
260,70
261,51
262,43
263,4
264,31
265,21
266,36
267,70
268,70
269,17
270,29
271,29
272,41
273,70
274,26
275,70
276,18
277,33
278,30
279,37
280,7
281,19
282,50
283,20
284,70
285,49
286,54
287,56
288,46
289,21
290,70
291,55
292,12
293,51
294,48
295,70
296,17
297,70
298,53
299,70
300,45
301,15
302,13
303,43
